0,1
dataset\archive\dataset\r02-131-s02-02.png,against the brass umbrella stand .
dataset\archive\dataset\g06-018h-s02-02.png,temperature is high & I have not yet thought of
dataset\archive\dataset\g01-067-s01-06.png,scale of payments was fixed for the
dataset\archive\dataset\p06-042-s00-00.png,"And as he spoke , the thought"
dataset\archive\dataset\l04-026-s05-01.png,pulling on his gloves and adjusting his hat .
dataset\archive\dataset\b06-004-s01-00.png,When
dataset\archive\dataset\b01-057-s01-00.png,Those who lend their names to this kind of
dataset\archive\dataset\b06-090-s00-00.png,Such a policy would unite the whole movement
dataset\archive\dataset\g06-018d-s02-03.png,thought of a fire ... .
dataset\archive\dataset\l07-172-s01-00.png,I was more than thankful for his help
dataset\archive\dataset\h04-007-s00-01.png,showed increases of 4 to 6 per cent for couples without
dataset\archive\dataset\k07-146-s00-01.png,bathroom and stood there shivering for
dataset\archive\dataset\k04-079-s00-00.png,"Prudence , ambition and reason had"
dataset\archive\dataset\m01-026-s00-00.png,There was utter imbecility in his blank face .
dataset\archive\dataset\a02-106-s00-02.png,"Colonial Secretary Mr. Iain Macleod , before the"
dataset\archive\dataset\e02-117-s02-02.png,designed and made for WOODWORKER
dataset\archive\dataset\b06-087-s01-07.png,"the Holy Loch , or any other part of Britain ."
dataset\archive\dataset\e04-091-s01-03.png,cut for this purpose in the stern or after
dataset\archive\dataset\g06-050g-s00-01.png,"at Ko""then , near Leipzig , asking for advice ."
dataset\archive\dataset\p03-040-s05-01.png,"been at the Load of Trouble roadhouse ,"
dataset\archive\dataset\c03-094d-s00-07.png,asked to modulate from their set moods
dataset\archive\dataset\m04-180-s04-01.png,"isn't , "" he ended sadly ."
dataset\archive\dataset\n01-036-s00-00.png,"He was able to pick out towns , unrecognisable to the"
dataset\archive\dataset\g04-003-s00-02.png,to our business .
dataset\archive\dataset\p06-242-s01-00.png,' It was never our intention
dataset\archive\dataset\b04-195-s00-00.png,It could be curtain up on two success stories .
dataset\archive\dataset\e07-090-s01-00.png,The deep rims make for neater and
dataset\archive\dataset\a01-000x-s01-02.png,"and he is to be backed by Mr. Will Griffiths ,"
dataset\archive\dataset\d01-052-s00-00.png,THE Fourth Gospel was almost certainly
dataset\archive\dataset\c03-096b-s02-03.png,like the queer foreigners of tradition .
dataset\archive\dataset\j06-051-s00-03.png,must almost certainly be replaced
dataset\archive\dataset\l07-103-s02-01.png,evening I 'll run you up there
dataset\archive\dataset\n06-133-s02-00.png,""" If you come any closer , I 'll sure blow"
dataset\archive\dataset\n02-004-s03-01.png,"own veranda , that he had taken the liberty of"
dataset\archive\dataset\g06-011c-s02-01.png,resource .
dataset\archive\dataset\h04-021-s02-04.png,diet in 1959 .
dataset\archive\dataset\c03-021b-s01-01.png,women but yet moved by a strong maternal instinct to
dataset\archive\dataset\g06-031g-s00-00.png,' What a frightful event ! ' he wrote .
dataset\archive\dataset\b03-087-s03-02.png,next report from the Molony committee .
dataset\archive\dataset\g05-098-s01-02.png,"those who had , over the years , spread such ghastly havoc , destruction"
dataset\archive\dataset\m02-075-s03-02.png,your mouth-organ . '
dataset\archive\dataset\e06-053-s02-01.png,that the wave might be transmitted by the
dataset\archive\dataset\f02-076-s02-02.png,a pre-retirement planning and preparation
dataset\archive\dataset\g06-045i-s00-05.png,"doctor who had studied under its founder , the aged"
